Company;Valuation ($B);Date Joined;Country;City;Industry;Investors
Rappi;US$ 5,25;8/31/18;Colombia;Bogota;Consumer & Retail;DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures
Collibra;US$ 5,25;1/29/19;Belgium;Brussels;Enterprise Tech;Index Ventures, Battery Ventures, ICONIQ Capital
NinjaOne;US$ 5,00;2/6/24;United States;Austin;Enterprise Tech;
Quince;US$ 4,50;7/29/25;United States;San Francisco;Enterprise Tech;8VC, Notable Capital
OneTrust;US$ 4,50;7/11/19;United States;Atlanta;Enterprise Tech;Insight Partners
QuintoAndar;US$ 5,10;9/9/19;Brazil;Campinas;Financial Services;Kaszek Ventures, General Atlantic, SoftBank Group
Monzo;US$ 5,90;10/31/18;United Kingdom;London;Financial Services;Passion Capital, Thrive Capital, Orange Digital Ventures
C6 Bank;US$ 5,05;12/2/20;Brazil;Sao Paulo;Financial Services;Credit Suisse
Redwood Materials;US$ 5,00;7/28/21;United States;Carson City;Industrials;Breakthrough Energy Ventures, Capricorn Investment Group, Valor Equity Partners
Abnormal Security;US$ 5,10;5/10/22;United States;San Francisco;Enterprise Tech;Greylock Partners, Insight Partners,Menlo Ventures
Airwallex;US$ 5,50;3/25/19;Australia;Melbourne;Financial Services;DST Global, Sequoia Capital China, Tencent Holdings
Mambu;US$ 5,50;1/6/21;Netherlands;Amsterdam;Financial Services;Runa Capital, Acton Capital Partners, Point Nine Capital
Oura;US$ 5,00;4/5/22;Finland;Oulu;Healthcare & Life Sciences;Forerunner Ventures, Lifeline Ventures, MSD Capital
Howden Group Holdings;US$ 5,00;9/29/20;United Kingdom;London;Insurance;General Atlantic, 3i Group, Huagai Capital
SambaNova Systems;US$ 5,00;4/13/21;United States;Palo Alto;Enterprise Tech;Walden International, Google Ventures, Intel Capital
ZEPZ;US$ 5,00;8/23/21;United Kingdom;London;Financial Services;Accel, Technology Crossover Ventures, LeapFrog Investments
OakNorth Bank;US$ 5,00;10/12/17;United Kingdom;London;Financial Services;Clermont Group, Coltrane Asset Management, Toscafund Asset Management
Moon Active;US$ 5,00;1/26/20;Israel;Tel Aviv;Media & Entertainment;Insight Partners, Andalusian Capital Partners
Whatnot;US$ 5,00;9/16/21;United States;Marina del Rey;Consumer & Retail;Y Combinator, Andreessen Horowitz, Wonder Ventures
OfBusiness;US$ 5,00;7/31/21;India;Gurgaon;Industrials;Matrix Partners India, Falcon Edge Capital, SoftBank Group
Cockroach Labs;US$ 5,00;1/12/21;United States;New York;Enterprise Tech;Google Ventures, Benchmark, FirstMark Capital
Pine Labs;US$ 5,00;1/24/20;India;Noida;Financial Services;Sequoia Capital India, Temasek, PayPal Ventures
Qonto;US$ 5,00;1/11/22;France;Paris;Enterprise Tech;Alven Capital, Valar Ventures, Tencent Holdings
Icertis;US$ 5,00;7/17/19;United States;Bellevue;Enterprise Tech;Eight Roads Ventures, Greycroft, Ignition Partners
Hopper;US$ 5,00;3/24/21;Canada;Montreal;Consumer & Retail;Capital One Growth Ventures, Citi Ventures, OMERS Ventures
VerSe Innovation;US$ 5,00;12/22/20;India;Bengaluru;Media & Entertainment;Falcon Edge Capital, Omidyar Network, Sequoia Capital India
Lenskart;US$ 5,00;12/20/19;India;Faridabad;Consumer & Retail;Chiratae Ventures, PremjiInvest, Softbank
ShareChat;US$ 5,00;4/8/21;India;Bengaluru;Media & Entertainment;India Quotient, Elevation Capital, Lightspeed Venture Partners
Coalition;US$ 5,00;3/17/21;United States;San Francisco;Insurance;Two Sigma Ventures, Flint Capital, Commerce Ventures
Zepto;US$ 5,81;8/25/23;India;Mumbai;Consumer & Retail;Nexus Venture Partners, Contrary, Global Founders Capital
Meesho;US$ 4,00;4/5/21;India;Bengaluru;Consumer & Retail;Venture Highway, Sequoia Capital India, Prosus Ventures
Cerebral;US$ 4,80;6/10/21;United States;San Francisco;Healthcare & Life Sciences;Oak HC/FT Partners, Artis Ventures, WestCap Group
Reify Health;US$ 4,80;8/10/21;United States;Boston;Healthcare & Life Sciences;Sierra Ventures, Battery Ventures, Asset Management Ventures
Chipone;US$ 4,73;12/16/21;China;Beijing;Industrials;China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment
BetterUp;US$ 4,70;2/25/21;United States;San Francisco;Enterprise Tech;Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital
Pleo;US$ 4,70;7/6/21;Denmark;Copenhagen;Enterprise Tech;Creandum, Founders, Kinnevik
SonarSource;US$ 4,70;4/26/22;Switzerland;Geneva;Enterprise Tech;Advent International,General Catalyst,Insight Partners
Lyra Health;US$ 5,85;8/25/20;United States;Burlingame;Healthcare & Life Sciences;Greylock Partners, Venrock, Providence Ventures
SandboxAQ;US$ 5,60;12/18/24;United States;Palo Alto;Enterprise Tech;Breyer Capital, Parkway VC, TIME Ventures
Checkr;US$ 4,60;9/19/19;United States;San Francisco;Enterprise Tech;Y Combinator, Accel, T. Rowe Price
Glean;US$ 4,60;5/18/22;United States;Palo Alto;Enterprise Tech;General Catalyst, Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners
Skims;US$ 4,00;4/9/21;United States;Los Angeles;Consumer & Retail;Thrive Capital, Alliance Consumer Growth, Imaginary Ventures
Color;US$ 4,60;1/4/21;United States;Burlingame;Healthcare & Life Sciences;General Catalyst, Viking Global Investors, T. Rowe Price
Lendable;US$ 4,58;3/31/21;United Kingdom;London;Financial Services;Ontario Teachers' Pension Plan, Goldman Sachs
Vinted;US$ 5,40;11/27/19;Lithuania;Vilnius;Consumer & Retail;Accel, Insight Partners, Burda Principal Investments
Helion Energy;US$ 5,43;11/5/21;United States;Redmond;Industrials;Mithril Capital Management, Y Combinator, Capricorn Investment Group
VIPKid;US$ 4,50;8/4/16;China;Beijing;Consumer & Retail;Sequoia Capital China, Tencent Holdings, Sinovation Ventures
Socure;US$ 4,50;3/16/21;United States;New York;Financial Services;Two Sigma Ventures, Flint Capital, Commerce Ventures
wefox;US$ 4,50;3/5/19;Germany;Berlin;Insurance;Salesforce Ventures, Seedcamp, OMERS Ventures
Hugging Face;US$ 4,50;5/9/22;United States;New York;Enterprise Tech;Betaworks Ventures, Addition, Lux Capital
Outreach;US$ 4,40;4/16/19;United States;Seattle;Enterprise Tech;Mayfield Fund, M12, Trinity Ventures
Lightmatter;US$ 4,40;12/19/23;United States;Mountain View;Enterprise Tech;Google Ventures, Spark Capital, Matrix Partners
Alan;US$ 4,46;4/19/21;France;Paris;Healthcare & Life Sciences;Index Ventures, Temasek, Portag3 Ventures
Guild Education;US$ 4,40;11/13/19;United States;Denver;Enterprise Tech;General Atlantic, Blackstone, ICONIQ Growth
Arctic Wolf Networks;US$ 4,30;10/22/20;United States;Eden Prairie;Enterprise Tech;Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors
Island;US$ 5,00;3/23/22;United States;Dallas;Enterprise Tech;Insight Partners, Sequoia Capital, Stripes Group
OutSystems;US$ 4,30;6/5/18;United States;Boston;Enterprise Tech;KKR, ES Ventures, North Bridge Growth Equity
Sorare;US$ 4,30;9/21/21;France;Paris;Media & Entertainment;Benchmark, Accel, SoftBank Group
Zipline;US$ 4,20;5/20/19;United States;South San Francisco;Industrials;Sequoia Capital, Baillie Gifford & Co., Google Ventures
Relativity Space;US$ 4,20;11/23/20;United States;Inglewood;Industrials;Playground Global, Bond, Tribe Capital
Miaoshou Doctor;US$ 4,25;6/27/19;China;Beijing;Healthcare & Life Sciences;Sequoia Capital China, Qiming Venture Partners, Tencent Holdings
ThoughtSpot;US$ 4,20;5/8/18;United States;Sunnyvale;Enterprise Tech;Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital
Globalization Partners;US$ 4,20;1/24/22;United States;Boston;Enterprise Tech;Vista Equity Partners, Wincove, TDR Capital
dbt Labs;US$ 4,20;6/30/21;United States;Philadelphia;Enterprise Tech;Andreessen Horowitz, Amplify Partners, Sequoia Capital
SSENSE;US$ 4,15;6/8/21;Canada;Montreal;Consumer & Retail;Sequoia Capital
Vanta;US$ 4,15;6/7/22;United States;San Francisco;Enterprise Tech;Craft Ventures, Sequoia Capital, Verissimo Ventures
Dataminr;US$ 4,10;6/4/18;United States;New York;Enterprise Tech;Venrock, Institutional Venture Partners, Goldman Sachs
BitPanda;US$ 4,11;3/16/21;Austria;Vienna;Financial Services;Speedinvest, Valar Ventures, Uniqa Ventures
Weee!;US$ 4,10;3/16/21;United States;Fremont;Consumer & Retail;Goodwater Capital, iFly, XVC Venture Capital
AlphaSense;US$ 4,00;6/15/22;United States;New York;Enterprise Tech;Viking Global Investors, GS Growth, BlackRock
Saronic Technologies;US$ 4,00;7/19/24;United States;Austin;Industrials;8VC, Caffeinated Capital, Andreessen Horowitz
The Brandtech Group;US$ 4,00;11/19/19;United States;New York;Enterprise Tech;Undisclosed
Houzz;US$ 4,00;9/30/14;United States;Palo Alto;Consumer & Retail;New Enterprise Associates, Sequoia Capital, Comcast Ventures
Yello Mobile;US$ 4,00;11/11/14;South Korea;Seoul;Consumer & Retail;Formation 8
Inflection AI;US$ 4,00;5/13/22;United States;Palo Alto;Enterprise Tech;Gates Frontier, Greylock Partners, Horizons Ventures
MEGVII;US$ 4,00;10/31/17;China;Beijing;Enterprise Tech;Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company
MiniMax AI;US$ 3,70;6/1/23;China;Shanghai;Enterprise Tech;HongShan, IDG Capital
Greensill;US$ 4,00;7/16/18;United Kingdom;London;Financial Services;SoftBank Group, General Atlantic
Impossible Foods;US$ 4,00;5/13/19;United States;Redwood City;Consumer & Retail;Khosla Ventures, Horizons Ventures, Temasek Holdings
Radiology Partners;US$ 4,00;2/26/18;United States;El Segundo;Healthcare & Life Sciences;New Enterprise Associates, Starr Investment Holdings
Next Insurance;US$ 4,00;10/7/19;United States;Palo Alto;Insurance;Zeev Ventures, Ribbit Capital, TLV Partners
PointClickCare;US$ 4,00;1/7/21;Canada;Mississauga;Healthcare & Life Sciences;Dragoneer Investment Group, Hellman & Friedman, JMI Equity
Zapier;US$ 4,00;1/14/21;United States;Sunnyvale;Enterprise Tech;Sequoia Capital, Bessemer Venture Partners, Threshold Ventures
Clubhouse;US$ 4,00;1/24/21;United States;San Francisco;Media & Entertainment;Andreessen Horowitz, TQ Ventures
BrowserStack;US$ 4,00;6/16/21;Ireland;Dublin;Enterprise Tech;Accel, Insight Partners, Bond Capital
ClickUp;US$ 4,00;12/15/20;United States;San Diego;Enterprise Tech;Georgian Partners, Craft Ventures
Cerebras Systems;US$ 4,00;11/14/18;United States;Los Altos;Enterprise Tech;Benchmark, Foundation Capital, Sequoia Capital
Farmers Business Network;US$ 4,00;8/3/20;United States;San Carlos;Industrials;Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures
Branch;US$ 4,00;9/10/18;United States;Redwood City;Enterprise Tech;New Enterprise Associates, Pear, Cowboy Ventures
Aurora Solar;US$ 4,00;5/24/21;United States;San Francisco;Industrials;Fifth Wall Ventures, Energize Ventures, ICONIQ Capital
Webflow;US$ 4,00;1/13/21;United States;San Francisco;Enterprise Tech;Accel, Silversmith Capital Partners, capitalG
Yuga Labs;US$ 4,00;3/22/22;United States;Miami;Media & Entertainment;Andreessen Horowitz, Thrive Capital, Sound Ventures
Medlinker;US$ 3,92;7/31/18;China;Chengdu;Healthcare & Life Sciences;China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China
StockX;US$ 3,80;6/26/19;United States;Detroit;Consumer & Retail;Google Ventures, Battery Ventures, DST Global
MessageBird;US$ 3,80;10/8/20;Netherlands;Amsterdam;Enterprise Tech;Y Combinator, Atomico, Accel
Articulate;US$ 3,75;7/1/21;United States;New York;Enterprise Tech;Blackstone, ICONIQ Growth, General Atlantic
Dutchie;US$ 3,75;3/16/21;United States;Bend;Consumer & Retail;Casa Verde Capital, Gron Ventures, Thrity Five Ventures
